iter	Passed	Remaining
399	47702	30172
400	47844	30067
401	47976	29955
402	48112	29846
403	48266	29748
404	48395	29634
405	48556	29540
406	48702	29437
407	48849	29333
408	49009	29238
409	49149	29130
410	49297	29026
411	49429	28913
412	49566	28803
413	49702	28693
414	49847	28587
415	50005	28488
416	50164	28390
417	50308	28283
418	50445	28172
419	50624	28084
420	50776	27981
421	50928	27878
422	51076	27771
423	51235	27671
424	51380	27564
425	51530	27458
426	51683	27354
427	51826	27245
428	51977	27139
429	52118	27028
430	52249	26912
431	52403	26808
432	52545	26697
433	52680	26583
434	52815	26468
435	52949	26353
436	53091	26242
437	53232	26130
438	53531	26095
439	53674	25983
440	53815	25870
441	53987	25772
442	54132	25660
443	54267	25545
444	54410	25432
445	54548	25317
446	54678	25198
447	54813	25082
448	54951	24966
449	55085	24849
450	55222	24733
451	55349	24613
452	55482	24495
453	55616	24378
454	55758	24263
455	55893	24147
456	56015	24024
457	56155	23908
458	56293	23792
459	56430	23676
460	56573	23562
461	56723	23450
462	56862	23334
463	56996	23216
464	57315	23172
465	57555	23096
466	57773	23010
467	57992	22924
468	58148	22813
469	58342	22716
470	58526	22615
471	58745	22527
472	58940	22429
473	59084	22312
474	59236	22198
475	59378	22079
476	59531	21965
477	59662	21842
478	59805	21724
479	59960	21610
480	60090	21487
481	60245	21373
482	60385	21253
483	60518	21131
484	60667	21014
485	60851	20909
486	60990	20789
487	61135	20670
488	61271	20548
489	61411	20428
490	61541	20304
491	61733	20201
492	61866	20078
493	62016	19960
494	62165	19842
495	62311	19723
496	62448	19601
497	62591	19481
498	62764	19370
499	62939	19259
500	63086	19139
501	63214	19014
502	63381	18901
503	63517	18777
504	63673	18660
505	63814	18539
506	63987	18426
507	64164	18314
508	64352	18205
509	64499	18085
510	64673	17971
511	64854	17860
512	65025	17745
513	65218	17637
514	65369	17516
515	65530	17398
516	65700	17282
517	65885	17170
518	66034	17049
519	66174	16925
520	66349	16810
521	66511	16691
522	66666	16570
523	66815	16448
524	66948	16322
525	67144	16211
526	67313	16094
527	67476	15974
528	67635	15854
529	67785	15731
530	67934	15608
531	68080	15484
532	68250	15366
533	68462	15256
534	68614	15133
535	68767	15010
536	68919	14887
537	69072	14764
538	69231	14642
539	69382	14518
540	69564	14401
541	69763	14287
542	69955	14171
543	70096	14045
544	70259	13922
545	70411	13798
546	70570	13675
547	70723	13551
548	70910	13432
549	71065	13308
550	71205	13181
551	71338	13052
552	71484	12926
553	71631	12800
554	71772	12673
555	71920	12547
556	72064	12420
557	72203	12292
558	72347	12165
559	72489	12038
560	72626	11910
561	72761	11781
562	72911	11655
563	73045	11526
564	73183	11398
565	73325	11270
566	73467	11143
567	73624	11017
568	73790	10893
569	73944	10767
570	74086	10639
571	74240	10513
572	74416	10389
573	74551	10260
574	74695	10132
575	74840	10004
576	74993	9877
577	75139	9749
578	75280	9621
579	75430	9493
580	75597	9368
581	75767	9243
582	75938	9117
583	76102	8991
584	76272	8865
585	76431	8738
586	76593	8611
587	76745	8483
588	76900	8355
589	77044	8226
590	77199	8098
591	77376	7972
592	77522	7843
593	77694	7717
594	77844	7588
595	77990	7458
596	78142	7329
597	78286	7200
598	78422	7069
599	78557	6939
600	78712	6810
601	78881	6682
602	79033	6553
603	79187	6424
604	79332	6294
605	79513	6166
606	79764	6044
607	79956	5917
608	80206	5794
609	80399	5667
610	80583	5539
611	80748	5409
612	80916	5280
613	81066	5149
614	81223	5018
615	81375	4887
616	81523	4756
617	81666	4625
618	81810	4493
619	81949	4361
620	82093	4230
621	82246	4099
622	82393	3967
623	82546	3836
624	82696	3704
625	82855	3573
626	83024	3442
627	83168	3310
628	83336	3179
629	83505	3048
630	83659	2916
631	83804	2784
632	83973	2653
633	84106	2520
634	84245	2388
635	84386	2255
636	84522	2123
637	84658	1990
638	84796	1857
639	84952	1725
640	85109	1593
641	85260	1460
642	85420	1328
643	85575	1195
644	85729	1063
645	85875	930
646	86021	797
647	86192	665
648	86363	532
649	86517	399
650	86668	266
651	86808	133
652	86971	0
