iter	RMSE
215	9.707401146
216	9.657093997
217	9.613637595
218	9.561194861
219	9.512181252
220	9.447363082
221	9.407331124
222	9.375294357
223	9.339194782
224	9.296569512
225	9.25649695
226	9.2005603
227	9.141136648
228	9.089154973
229	9.049193879
230	8.993306195
231	8.931440945
232	8.89051299
233	8.874549928
234	8.849150904
235	8.810326929
236	8.774838359
237	8.725362773
238	8.694212854
239	8.657586551
240	8.621764136
241	8.579814606
242	8.541426692
243	8.509320991
244	8.476496252
245	8.429475134
246	8.409359921
247	8.398485564
248	8.38696741
249	8.331280035
250	8.297780902
251	8.272063619
252	8.240063343
253	8.206438782
254	8.18257388
255	8.142256613
256	8.100494987
257	8.062036391
258	8.05187006
259	8.015701775
260	8.008469887
261	7.973296498
262	7.961122946
263	7.934271927
264	7.898358448
265	7.886649603
266	7.855340175
267	7.847149196
268	7.811352375
269	7.787588845
270	7.757706412
271	7.724367478
272	7.684257477
273	7.645203051
274	7.603294341
275	7.571584281
276	7.538255163
277	7.530021044
278	7.489286883
279	7.454066004
280	7.429075683
281	7.407956538
282	7.374439852
283	7.35474868
284	7.322079617
285	7.299734017
286	7.292662401
287	7.270125045
288	7.252321122
289	7.235502709
290	7.212874786
291	7.174815044
292	7.15388479
293	7.112549026
294	7.098503466
295	7.072601196
296	7.055137221
297	7.012791177
298	7.008265074
299	6.993495544
300	6.962279459
301	6.959906694
302	6.94210297
303	6.926531043
304	6.892476603
305	6.858400815
306	6.826744698
307	6.802601643
308	6.776757233
309	6.754790031
310	6.727310291
311	6.708236035
312	6.686742847
313	6.681199534
314	6.666945813
315	6.656460211
316	6.629979719
317	6.602961447
318	6.591636059
319	6.581005284
320	6.556602182
321	6.528601106
322	6.505117845
323	6.492717955
324	6.466392219
325	6.442875298
326	6.415931042
327	6.393749611
328	6.374395015
329	6.337166763
330	6.31325423
331	6.305049726
332	6.298110976
333	6.278804462
334	6.254461016
335	6.242609363
336	6.219970926
337	6.20760151
338	6.187383034
339	6.161387359
340	6.131701439
341	6.11806832
342	6.089643517
343	6.062267545
344	6.041364007
345	6.016217213
346	5.993041187
347	5.97153693
348	5.953923961
349	5.945627965
350	5.928248212
351	5.91485373
352	5.886359184
353	5.870780196
354	5.8534548
355	5.839422701
356	5.819028673
357	5.801486477
358	5.780812415
359	5.767166822
360	5.743775491
361	5.728653583
362	5.711131898
363	5.703369734
364	5.690014556
365	5.666096109
366	5.652066291
367	5.631089885
368	5.61211426
369	5.600792599
370	5.584470778
371	5.571205042
372	5.555991272
373	5.537755291
374	5.509010827
375	5.490318446
376	5.477781365
377	5.465188229
378	5.450712154
379	5.441912964
380	5.426040427
381	5.401876264
382	5.382622069
383	5.374881579
384	5.364006339
385	5.350036003
386	5.329076275
387	5.318743829
388	5.306004838
389	5.294726332
390	5.282447082
391	5.273548223
392	5.262200678
393	5.243317313
394	5.225270992
395	5.210815148
396	5.201002591
397	5.193379299
398	5.185071975
399	5.163305588
400	5.154269256
401	5.142165768
402	5.130319165
403	5.123618217
404	5.115574172
405	5.093447085
406	5.079900929
407	5.06771424
408	5.046378054
409	5.036436889
410	5.027642164
411	5.016102378
412	5.009348386
413	5.000980815
414	4.997285002
415	4.988783314
416	4.977491184
417	4.966574655
418	4.954658162
419	4.946638162
420	4.938065715
421	4.928080424
422	4.924346802
423	4.915156501
424	4.9070495
425	4.900322601
426	4.879598935
427	4.87464126
428	4.866328283
429	4.844051283
430	4.835816073
431	4.82626181
432	4.809066189
433	4.794495948
434	4.783623064
435	4.775383977
436	4.76891164
437	4.760723019
438	4.749137487
439	4.741462705
440	4.734881394
441	4.726140471
442	4.717427671
443	4.698628882
444	4.691844818
445	4.686275384
446	4.670343751
447	4.665560479
448	4.656507757
449	4.645936643
450	4.635920965
451	4.624024538
452	4.608230924
453	4.600391784
454	4.594476121
455	4.587013389
456	4.580833195
457	4.563507653
458	4.55460811
459	4.538149361
460	4.533431575
461	4.519088987
462	4.512272474
463	4.50655008
464	4.502308817
465	4.497568951
466	4.493024233
467	4.477821596
468	4.474607688
469	4.470433998
470	4.464911466
471	4.459717156
472	4.455526833
473	4.448424598
474	4.433322125
475	4.426623777
476	4.411943855
477	4.408100372
478	4.394233775
479	4.388749724
480	4.374701048
481	4.367286329
482	4.359570925
483	4.346266115
484	4.329519453
485	4.32685344
486	4.314783055
487	4.310301427
488	4.30471154
489	4.290863873
490	4.280312644
491	4.278636322
492	4.269414216
493	4.265720574
494	4.255796942
495	4.251466619
496	4.240231733
497	4.229265198
498	4.22741501
499	4.220361658
500	4.208510601
501	4.203487427
502	4.190157673
503	4.180060645
504	4.177452224
505	4.165416493
506	4.152297932
507	4.143160241
508	4.139708952
509	4.131760508
510	4.128283807
511	4.115480798
512	4.105390157
513	4.102239109
514	4.099858722
515	4.095457
516	4.085236236
517	4.078478925
518	4.074068955
519	4.07211544
520	4.061288155
521	4.053733596
522	4.043572766
523	4.038254303
524	4.028150825
525	4.021722142
526	4.016176483
527	4.009537098
528	4.001241737
529	3.993762629
530	3.988876222
531	3.985859381
532	3.977000959
533	3.966630498
534	3.964573797
535	3.955630209
536	3.952821679
537	3.947088965
538	3.942207836
539	3.935960394
540	3.932848952
541	3.929743465
542	3.923111226
543	3.91818733
544	3.911459964
545	3.90841955
546	3.90482606
547	3.898669227
548	3.888985941
549	3.887295501
550	3.884827577
551	3.876896665
552	3.869818208
553	3.867767231
554	3.858397741
555	3.851679766
556	3.848726898
557	3.8449087
558	3.838725438
559	3.830100497
560	3.822330739
561	3.814605961
562	3.810809677
563	3.802460491
564	3.795289403
565	3.787672486
566	3.781009569
567	3.776890411
568	3.769528561
569	3.765031144
570	3.76211692
571	3.755971802
572	3.750022763
573	3.743822246
574	3.740548049
575	3.7341618
576	3.726666272
577	3.723191137
578	3.720183963
579	3.712835894
580	3.710110872
581	3.705105172
582	3.699869779
583	3.696507635
584	3.688749658
585	3.683293373
586	3.682218939
587	3.68012705
588	3.676113828
589	3.671152745
590	3.665323253
591	3.660149769
592	3.656612108
593	3.650457802
594	3.645255971
595	3.641217182
596	3.636322028
597	3.629837111
598	3.624920491
599	3.622820578
600	3.620441751
601	3.613974407
602	3.61292937
603	3.607875668
604	3.603232464
605	3.599314932
606	3.596352574
607	3.592722133
608	3.58661213
609	3.580655762
610	3.577824794
611	3.572633363
612	3.56986149
613	3.56845717
614	3.565993711
615	3.563540963
616	3.560615913
617	3.558024187
618	3.555740715
619	3.554405972
620	3.553138078
621	3.54953898
622	3.546394894
623	3.544368146
624	3.540445405
625	3.536520016
626	3.532794792
627	3.531258569
628	3.528289794
629	3.524917893
630	3.521787137
631	3.518699803
632	3.513103542
633	3.510046272
634	3.50566774
635	3.50409601
636	3.500020661
637	3.49618224
638	3.491928216
639	3.488111927
640	3.486889503
641	3.481477486
642	3.476455923
643	3.472435752
644	3.467624935
645	3.466514812
646	3.463166306
647	3.45832945
648	3.453216292
649	3.448465937
650	3.443718177
651	3.439393498
652	3.4358447
